Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
269		0.1321		0.2763		0.8051		0.6686		0.00006671
270		0.1331		0.2774		0.8041		0.6725		0.00006483
271		0.1327		0.2753		0.8043		0.6697		0.00006295
272		0.1326		0.2827		0.8042		0.6666		0.00006105
273		0.1316		0.2851		0.8062		0.6729		0.00005916
274		0.1314		0.2780		0.8059		0.6852		0.00005725
275		0.1304		0.2702		0.8080		0.6770		0.00005534
276		0.1313		0.2872		0.8052		0.6720		0.00005342
277		0.1324		0.2815		0.8042		0.6655		0.00005149
278		0.1310		0.2779		0.8072		0.6778		0.00004956
279		0.1314		0.2798		0.8048		0.6716		0.00004761
280		0.1307		0.2759		0.8085		0.6716		0.00004566
281		0.1292		0.2675		0.8091		0.6672		0.00004370
282		0.1285		0.2877		0.8096		0.6712		0.00004173
283		0.1287		0.2784		0.8089		0.6703		0.00003975
284		0.1277		0.2832		0.8110		0.6731		0.00003775
285		0.1277		0.2799		0.8109		0.6713		0.00003575
286		0.1275		0.2805		0.8112		0.6731		0.00003373
287		0.1275		0.2803		0.8113		0.6738		0.00003170
288		0.1266		0.2756		0.8125		0.6801		0.00002966
289		0.1272		0.2827		0.8125		0.6709		0.00002759
290		0.1266		0.2886		0.8119		0.6702		0.00002552
291		0.1264		0.2821		0.8125		0.6751		0.00002342
292		0.1256		0.2810		0.8135		0.6743		0.00002130
293		0.1257		0.2809		0.8130		0.6689		0.00001916
294		0.1251		0.2792		0.8144		0.6781		0.00001699
295		0.1251		0.2829		0.8143		0.6765		0.00001479
296		0.1249		0.2906		0.8147		0.6736		0.00001255
297		0.1245		0.2828		0.8152		0.6757		0.00001027
298		0.1242		0.2902		0.8157		0.6725		0.00000792
299		0.1238		0.2839		0.8160		0.6745		0.00000550
300		0.1242		0.2905		0.8156		0.6737		0.00000295
